,name,acres,shore_miles,county
4233,,0.28639789,0.0828084,
4234,,0.21511206,0.06803569,
4235,,0.13474166,0.05964782,
4236,,0.14261168,0.05777347,
4237,,0.20160807,0.07037446,
4238,,0.15807506,0.06287586,
4239,,0.11807391,0.05709466,
4240,,0.26705705,0.08268463,
4241,,0.81790282,0.22833449,
4242,,0.1507497,0.06879472,
4243,,0.12047597,0.05156871,
4244,,0.21069598,0.07218156,
4245,,0.30788841,0.10356173,
4246,,1.47412494,0.2800662,
4247,,11.18343966,0.64801313,
4248,,0.27497808,0.07488366,
4249,,0.23028393,0.07458358,
4250,,0.17385372,0.06143312,
4251,,0.23641288,0.07745103,
4252,,0.25361275,0.07691353,
4253,,0.2121855,0.06888923,
4254,,0.368973,0.09944051,
4255,,0.17532748,0.06308513,
4256,,0.43679264,0.10128357,
4257,,3.29124436,0.53308289,
4258,,0.18526734,0.06531987,
4259,,0.12204182,0.05503701,
4260,,0.18021141,0.06757816,
4261,,0.26967344,0.07866443,
4262,,2.8680517,0.40874503,
4263,,0.23641318,0.08761195,
4264,,0.29087267,0.08517895,
4265,,0.11912864,0.05725504,
4266,,0.2028522,0.06835872,
4267,,0.18082037,0.06482765,
4268,,2.5508374,0.34326525,
4269,,0.23318013,0.06987725,
4270,,0.2795749,0.08117448,
4271,,0.30869982,0.08842881,
4272,,0.17170713,0.06023666,
4273,,0.50196458,0.11994011,
4274,,0.81153212,0.16412447,
4275,,4.33522706,0.5848041,
4276,,0.81460211,0.18285684,
4277,,1.64376997,0.39245741,
4278,,0.57731739,0.12583158,
4279,,5.21084814,0.38492661,
4280,,0.40577996,0.10032159,
4281,,0.15734292,0.05796063,
4282,,2.95882457,0.25686894,
4283,,0.57770192,0.13984456,
4284,,0.43048326,0.10548939,
4285,,0.35208499,0.08653389,
4286,,3.56248877,1.00566302,
4287,,0.55240341,0.11225122,
4288,,0.25842566,0.07605687,
4289,,21.93080517,1.18516358,
4290,,0.13018356,0.05307889,
4291,,0.38247871,0.09920548,
4292,,0.2927166,0.0843255,
4293,,0.42661698,0.11430092,
4294,,0.38356552,0.12723612,
4295,,0.37404216,0.08916652,
4296,,2.98702822,0.26122883,
4297,,0.36261205,0.10990554,
4298,,0.44020859,0.12738612,
4299,,2.28963887,0.24647986,
4300,,0.24102981,0.08251304,
4301,,0.14193018,0.05585728,
4302,,0.17162571,0.06305083,
4303,,0.13374575,0.05578584,
4304,,0.20121638,0.06654876,
4305,,0.17078362,0.06539595,
4306,,0.12520644,0.05498547,
4307,,0.21126831,0.07393109,
4308,,2.44194537,0.27046132,
4309,,0.21228338,0.07073707,
4310,,0.22399503,0.07266237,
4311,,0.78255596,0.13244495,
4312,,0.34797627,0.09041598,
4313,,0.32769407,0.0920089,
4314,,0.74102049,0.12395711,
4315,,0.18163108,0.06240131,
4316,,0.35337556,0.09988614,
4317,,0.92573181,0.15424325,
4318,,0.39434561,0.09048658,
4319,,0.22552459,0.07127256,
4320,,3.65465552,0.29353758,
4321,,0.83101238,0.17556833,
4322,,0.22970524,0.07529132,
4323,,0.22187422,0.0769722,
4324,,0.30093073,0.08313972,
