,name,acres,shore_miles,county
6336,Unnamed (Little Rock Channel),153.3398796,6.55056001,Benton
6337,Pelican Creek,59.6212308,1.65572409,Grant
6338,Unnamed (Big Olson),25.1477764,1.85635204,Hubbard
6339,Unnamed,55.18633995,5.41470258,Mahnomen
6340,Unnamed (Honey Pond),39.82085774,1.60595263,Pine
6341,Unnamed,82.64589712,3.61433728,Pope
6342,Twin,23.27353982,1.15543638,Itasca
6343,Boy,42.86530519,1.28424794,Itasca
6344,Ryan,19.48644384,0.92727249,Hennepin
6345,,23.31668752,0.78490902,
6346,,12.62677458,0.82224286,
6347,Unnamed,67.1711754,2.89927925,Otter Tail
6348,Unnamed,20.01271704,0.81230459,Sherburne
6349,Flattail,10.19919369,0.60748872,Cook
6350,Unnamed,54.51719648,1.90259218,Norman
6351,Unnamed,19.00514202,1.10823419,Stevens
6352,Unnamed,28.73170979,1.16462676,Murray
6353,Unnamed,47.2629495,1.48913869,Otter Tail
6354,Unnamed,15.6769805,0.95257172,Murray
6355,,13.66464564,1.00412502,
6356,,13.94305421,0.83760114,
6357,,52.50497319,1.47847625,
6358,,17.07633885,0.65689467,
6359,Unnamed,16.29572429,0.64387326,Becker
6360,Unnamed (Hubbard),65.03074059,1.95436167,Grant
6361,,10.44056906,0.77808832,
6362,Pierce,69.04319463,1.91991898,Becker
6363,Johnson,14.87034579,0.73277664,Aitkin
6364,Unnamed,33.23710906,1.45127838,Pope
6365,,12.24639528,1.50235591,
6366,Unnamed,22.97042932,0.87866183,Otter Tail
6367,Unnamed,49.53702336,1.9734996,Hubbard
6368,Rice,80.86450633,1.91513908,Sibley
6369,,11.16016827,0.8508669,
6370,,10.0611617,0.54612746,
6371,,21.62616396,1.58660969,
6372,,10.63191852,0.98848262,
6373,,12.08185178,0.9394099,
6374,,13.61829687,0.68236232,
6375,,17.31070075,0.74571581,
6376,Unnamed,14.16596228,0.64259339,Otter Tail
6377,Unnamed,13.4555233,0.85393529,Otter Tail
6378,Unnamed,26.36236897,1.1186303,Pope
6379,Unnamed,32.50373479,2.10221819,Wabasha
6380,Vierge,24.71903967,1.47048162,Lake
6381,Evergreen Pond WMA,41.37269634,2.58749142,Koochiching
6382,Unnamed,15.37754297,0.90043189,Crow Wing
6383,Unnamed,47.73244282,1.39724796,Kandiyohi
6384,Unnamed,55.28331198,1.62464064,Red Lake
6385,Unnamed,30.8723825,1.18689014,Beltrami
6386,Unnamed,15.89970391,0.68741563,Stearns
6387,Lost,49.37729985,1.47908573,Hennepin
6388,Unnamed (Krone Bog),86.60466313,4.67072525,Isanti
6389,Leitheiser,74.97752767,1.67407034,Becker
6390,Unnamed,39.28340681,1.02025881,Washington
6391,Unnamed,53.43093299,2.57463837,Scott
6392,Unnamed,53.39545723,2.53878401,Isanti
6393,,15.03125669,0.97781339,
6394,,10.59279301,0.4950443,
6395,,10.28131835,1.02341285,
6396,Unnamed,121.1830396,4.92510404,Polk
6397,Fuglie WPA,10.0432458,0.53379605,Clay
6398,Unnamed,49.28279646,1.2554175,Nicollet
6399,Henry,44.3033414,1.05079718,Wright
6400,Reno Lake Wetland,19.78632323,1.31678427,Pope
6401,Unnamed,19.54754102,1.12445697,Pope
6402,Unnamed,36.87331087,1.53928816,Douglas
6403,Unnamed,31.14784939,1.37330634,Big Stone
6404,Unnamed,31.58082799,1.77589456,Big Stone
6405,Silver,38.429864,1.10237383,Waseca
6406,Unnamed,14.8586626,0.64777019,Cook
6407,Unnamed (McInnis),15.10271802,1.08275255,St. Louis
6408,Tremble,31.7362063,1.32192887,Cook
6409,Bruhjell,20.22693793,0.72699305,Clearwater
6410,,35.87789481,1.68354515,
6411,,10.25371457,0.53307771,
6412,Unnamed,19.0449428,1.24648503,Lake
6413,Silver,380.813301,4.02080342,Waseca
6414,Melissa,1850.170147,7.00728603,Becker
6415,Lac Lavon,65.89008527,2.11454839,Dakota
6416,Unnamed,14.22841945,1.40144415,Cook
6417,Finger,271.83998,7.11556583,St. Louis
6418,Unnamed,11.89854605,0.61321046,Cook
6419,Unnamed,52.65416373,1.39461853,Big Stone
6420,Little Midge,41.8048186,1.11047341,Hubbard
6421,Unnamed,22.06776585,1.10313063,Crow Wing
6422,Mud,20.38589478,0.77728846,Freeborn
6423,Lee,19.89369633,1.19460877,Grant
6424,Grubb,48.16090902,1.25713568,Douglas
6425,Thrush,14.9506542,0.61768652,Cook
6426,Tilde,248.4787936,2.69696795,Clay
6427,Unnamed,13.10011782,0.69966053,Cass
6428,Manomin,243.9238016,2.93958923,Beltrami
6429,Unnamed (Kramer),69.73221273,2.5924337,Cass
6430,Wending,17.55286338,0.73459172,Beltrami
6431,Danielson Slough,56.88683832,2.1857183,Pope
6432,Downs,24.85470697,0.89058409,Washington
6433,Unnamed,11.58691739,0.63503606,Polk
6434,Hillstrom,11.25241971,0.78837482,Sibley
6435,Unnamed,13.6400569,0.77713439,Scott
6436,Unnamed,22.54617093,1.23866102,Todd
6437,Rodewald,13.95798186,0.86664402,Meeker
6438,Unnamed,16.54263682,0.71607985,Chisago
6439,Unnamed,36.03640562,1.37980298,Beltrami
6440,Unnamed,35.07114614,1.49929204,Big Stone
6441,Sockeye,62.4050174,1.39945002,Becker
6442,Fischer,12.06217885,0.94962104,Becker
6443,Pet,14.84800146,0.56757718,Anoka
6444,Myrtle,117.6081661,2.64237232,Beltrami
6445,Eugene,181.3504916,4.67858733,St. Louis
6446,Little Pine,16.35027235,0.59861548,Todd
6447,Birch,232.87166,5.32070074,Becker
6448,Hattie,459.1273986,5.06969875,Stevens
6449,Helena,60.34279768,1.26537063,Waseca
6450,Turpela,35.1927134,0.98711401,St. Louis
6451,Unnamed,70.96275611,1.73596572,Traverse
6452,Ann,182.8545954,4.63527708,Sherburne
6453,Gonz,24.6481387,1.0730533,Wright
6454,Shagawa,2344.513972,23.3907732,St. Louis
6455,Fuller,51.92057054,1.18936305,Todd
6456,Little Armstrong,69.68267241,2.19270099,St. Louis
6457,Prairie,46.92921382,1.28421784,Sherburne
6458,Ellingson,151.1475231,2.69882804,Otter Tail
6459,Unnamed,31.15064968,0.96814675,Otter Tail
6460,Fischer,65.56257239,1.96350692,Otter Tail
6461,Magnet,34.03883059,1.1298605,Lake
6462,Unnamed (Bohemian),174.2487931,3.37192224,Lincoln
6463,Bine,12.96767789,0.83397348,Lake
6464,Unnamed,28.19314527,0.89628578,Otter Tail
6465,Unnamed,15.99843916,0.69599488,Otter Tail
6466,Unnamed,33.98300705,1.40629766,Otter Tail
6467,Unnamed,38.02002626,1.76654789,Otter Tail
6468,Unnamed,32.87934042,1.49868273,Otter Tail
6469,Unnamed,34.3784535,1.70942961,Otter Tail
6470,Unnamed,22.83694235,0.69408684,Otter Tail
6471,,17.21920794,0.19114683,St. Louis
6472,Little Moss,83.25990661,1.52289525,Cass
6473,,14.16238158,1.58265536,Cass
6474,,11.31709874,0.7831401,
6475,,16.47262329,0.93108424,
6476,Unnamed,14.41106965,0.60542173,Douglas
6477,,10.00706674,0.88100324,
6478,,13.41238923,1.00953282,
6479,Unnamed,24.95327382,0.95698414,Lake
6480,Unnamed,57.51763058,1.38017361,Otter Tail
6481,Unnamed,14.83800764,0.88890486,Grant
6482,Otter,79.00436184,2.0711703,Kandiyohi
6483,Unnamed,42.30811836,1.20425304,Traverse
6484,Unnamed,46.10323728,1.44699413,Douglas
6485,Unnamed,26.74265515,1.79851067,Stevens
6486,Unnamed,67.6442593,2.07273182,Mahnomen
6487,Unnamed (Busko WPA wetland),194.8642036,4.89828877,Otter Tail
6488,Unnamed,94.50941685,2.1223876,Pine
6489,Hultgren,68.58592664,2.6207734,Todd
6490,Unnamed,25.88471981,1.00445004,Lake
6491,Unnamed,30.71011789,1.37881282,Otter Tail
6492,Agder WMA,14.47350762,1.76123252,Marshall
6493,Ahlswede,44.22090837,2.57274607,Scott
6494,Unnamed,44.68294561,1.89504715,Beltrami
6495,Crookshank,98.19478882,2.2581773,Carver
6496,Unnamed,78.56480761,1.42838779,Big Stone
6497,Unnamed,25.05647851,1.71795595,Clearwater
6498,Unnamed,24.24653262,1.27908417,Big Stone
6499,Unnamed,57.28838492,2.71219952,Beltrami
6500,Unnamed,17.67481596,1.14537351,Carlton
6501,Comstock,426.772917,5.9676417,St. Louis
6502,Turtle,24.09065254,0.74895759,Pine
6503,,15.65834615,0.66967494,
6504,Perkins,518.3098211,4.97572624,Stevens
6505,Becoosin,56.59832726,2.60236817,Lake
6506,Unnamed,17.18217044,1.0257287,Roseau
6507,Coal,171.0152339,2.70952592,Todd
6508,East Stone,85.51403844,1.75278329,St. Louis
6509,Hanging Kettle,317.9726102,3.75873364,Aitkin
6510,Unnamed,11.67099232,1.15033518,St. Louis
6511,Cedar,55.43327406,1.15555132,Carlton
6512,Clear,28.79185688,1.27307968,Aitkin
6513,Gansey,72.05760057,1.48399772,St. Louis
6514,Cole,115.7553918,1.69858912,Crow Wing
6515,Unnamed,15.61228257,0.62089767,Crow Wing
6516,Unnamed,26.59610958,0.89679367,Cass
6517,Echo,10.00693866,0.48859493,Cass
6518,Nellie,26.37341857,0.84035142,Cass
6519,Lova,39.86903307,1.17981514,Cass
6520,Missouri,27.56118614,0.81180946,Becker
6521,Unnamed (Evans),19.32634209,0.64601401,Becker
6522,Unnamed,17.69255497,0.72773533,Beltrami
6523,Nels Olson,179.3110893,2.51608644,Clearwater
6524,First,13.1972282,0.57377793,Clearwater
6525,Enerson,82.94570856,1.46330068,Polk
6526,Knutson,21.17998775,0.98193619,Waseca
6527,Hay,31.16605048,0.91057076,Washington
6528,Unnamed,11.55306518,0.80288644,Wright
6529,Unnamed,24.53751413,0.93840639,Meeker
6530,Minister,96.34056863,2.07158247,Douglas
6531,Winkle,34.61638504,0.95214943,St. Louis
6532,Unnamed (State 59),33.58929579,1.61941333,Otter Tail
6533,Unnamed,10.71441221,0.74338109,St. Louis
6534,,36.2390162,1.97722004,
6535,,20.713037,0.97240686,
6536,Millstone,199.6325582,2.5924659,Wright
6537,East Marsh,39.44244162,1.01057738,Steele
6538,Unnamed (Sedan Pond WMA),47.43283151,1.85669588,Pope
6539,Unnamed,10.52891156,0.69435338,Lac Qui Parle
6540,Unnamed,65.59988825,2.1559381,Roseau
